SITE_UPRN,SITE_NAME,PRIMARY_ADDRESS,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,GIA,EASTING,NORTHING,PARISH,DISTRICT,SUBCLIENT,SITESTATUS,SITEFUNCTIONDETAIL 
064501,YEO VALLEY PRIMARY SCHOOL-MAIN SCHOOL SITE,,DERBY ROAD,,BARNSTAPLE,DEVON,EX32 7HB,2507.00,256249.00,133546.00,Barnstaple CP,NORTH DEVON,Education Schools,Freehold,Primary school
064502,YEO VALLEY PRIMARY SCHOOL-PLAYING FIELD,,DERBY ROAD,,BARNSTAPLE,DEVON,EX32 7HB,42.80,256251.00,133766.00,Barnstaple CP,NORTH DEVON,Education Schools,Freehold,Primary school
064601,KINGSACRE PRIMARY SCHOOL,,KINGSACRE,GREENACRE,BRAUNTON,DEVON,EX33 1BN,1103.70,248181.00,136808.00,Braunton CP,NORTH DEVON,Education Schools,Freehold,Primary school
064701,ABBOTSKERSWELL PRIMARY SCHOOL,,,ABBOTSKERSWELL,NEWTON ABBOT,DEVON,TQ12 5NS,723.00,285644.00,68914.00,Abbotskerswell CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
064801,ASHBURTON PRIMARY SCHOOL,,WHISTLEY HILL,,ASHBURTON,DEVON,TQ13 7DW,1309.00,275872.00,69842.00,Ashburton CP,TEIGNBRIDGE,Education Schools,Academy,Primary school
064901,BISHOPSTEIGNTON SCHOOL,,COCKHAVEN CLOSE,BISHOPSTEIGNTON,TEIGNMOUTH,DEVON,TQ14 9RJ,1105.10,290579.00,73529.00,Bishopsteignton CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
065001,BLACKAWTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,,BLACKAWTON,TOTNES,DEVON,TQ9  7BE,893.30,280436.00,50982.00,Blackawton CP,SOUTH HAMS,Education Schools,Freehold,Primary school
065002,BLACKAWTON PRIMARY SCHOOL-SCHOOL LANE PLAYING FIELD,,,BLACKAWTON,TOTNES,DEVON,TQ9  7BE,,280375.00,50989.00,Blackawton CP,SOUTH HAMS,Education Schools,Freehold,Primary school
065101,BOVEY TRACEY PRIMARY SCHOOL-MAIN SCHOOL SITE,,ABBEY ROAD,,BOVEY TRACEY,DEVON,TQ13 9HZ,1398.60,281451.00,78562.00,Bovey Tracey CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
065102,BOVEY TRACEY PRIMARY SCHOOL-PLAYING FIELD,,ABBEY ROAD,,BOVEY TRACEY,DEVON,TQ13 9HZ,64.20,281346.00,78437.00,Bovey Tracey CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
065501,BROADHEMPSTON VILLAGE PRIMARY SCHOOL-MAIN SCHOOL SITE,,,BROADHEMPSTON,TOTNES,DEVON,TQ9  6BL,285.00,280152.00,66261.00,Broadhempston CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
065502,BROADHEMPSTON VILLAGE PRIMARY SCHOOL-PLAYGROUND,,,BROADHEMPSTON,TOTNES,DEVON,TQ9  6BL,,280134.00,66350.00,Broadhempston CP,TEIGNBRIDGE,Education Schools,Memo of Arrangement / User Agreement,Primary school
065503,BROADHEMPSTON VILLAGE PRIMARY SCHOOL-VILLAGE HALL,,,BROADHEMPSTON,TOTNES,DEVON,TQ9  6BL,0,280038.00,66273.00,Broadhempston CP,TEIGNBRIDGE,Education Schools,Memo of Arrangement / User Agreement,Primary school
065601,BUCKFASTLEIGH PRIMARY SCHOOL-MAIN SCHOOL SITE,,BOSSELL ROAD,,BUCKFASTLEIGH,DEVON,TQ11 0DD,1744.00,273778.00,66081.00,Buckfastleigh CP,TEIGNBRIDGE,Education Schools,Academy,Primary school
065701,CHRISTOW COMMUNITY SCHOOL,,DRY LANE,CHRISTOW,EXETER,DEVON,EX6  7PE,672.40,283212.00,85114.00,Christow CP,TEIGNBRIDGE,Education Schools,Academy,Primary school
065801,COCKWOOD PRIMARY SCHOOL-MAIN SCHOOL SITE,,COFTON HILL,COCKWOOD,EXETER,DEVON,EX6  8RB,297.00,297628.00,80573.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
065802,COCKWOOD PRIMARY SCHOOL-VILLAGE HALL,,COFTON HILL,COCKWOOD,EXETER,DEVON,EX6  8RB,113.00,297541.00,80685.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Memo of Arrangement / User Agreement,Primary school
065803,COCKWOOD PRIMARY SCHOOL-PLAYING FIELD,,COFTON HILL,COCKWOOD,EXETER,DEVON,EX6  8RB,,297505.00,80726.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Licence,Primary school
065901,DARTMOUTH ACADEMY - PRIMARY SCHOOL AND NURSERY SITE,,MILTON LANE,,DARTMOUTH,DEVON,TQ6  9HW,1536.00,286514.00,50849.00,Dartmouth CP,SOUTH HAMS,Education Schools,Academy,Primary school
066101,WESTCLIFF SCHOOL-MAIN SCHOOL SITE,,FIRST AVENUE,,DAWLISH,DEVON,EX7  9RA,2125.00,295490.00,76475.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066102,WESTCLIFF SCHOOL-FOOTBALL GROUND SITE,,FIRST AVENUE,,DAWLISH,DEVON,EX7  9RA,,295242.00,76335.00,Dawlish CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066201,DENBURY PRIMARY SCHOOL,,WEST STREET,DENBURY,NEWTON ABBOT,DEVON,TQ12 6DP,763.60,282205.00,68921.00,Denbury and Torbryan CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066301,DODDISCOMBSLEIGH COMMUNITY SCHOOL,,,DODDISCOMBSLEIGH,EXETER,DEVON,EX6  7PR,434.00,285413.00,86700.00,Doddiscombsleigh CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066401,DUNSFORD COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,,,DUNSFORD,EXETER,DEVON,EX6  7DD,663.00,281138.00,89227.00,Dunsford CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066402,DUNSFORD COMMUNITY PRIMARY SCHOOL-VILLAGE HALL SITE,,,DUNSFORD,EXETER,DEVON,EX6  7DD,0,281221.00,89156.00,Dunsford CP,TEIGNBRIDGE,Education Schools,Memo of Arrangement / User Agreement,Primary school
066501,EAST ALLINGTON PRIMARY SCHOOL,,,EAST ALLINGTON,TOTNES,DEVON,TQ9  7RE,669.00,276941.00,48277.00,East Allington CP,SOUTH HAMS,Education Schools,Freehold,Primary school
066601,EXMINSTER COMMUNITY PRIMARY,,,EXMINSTER,EXETER,DEVON,EX6  8AJ,1544.00,294391.00,87765.00,Exminster CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066701,HENNOCK COMMUNITY PRIMARY SCHOOL,,,HENNOCK,NEWTON ABBOT,DEVON,TQ13 9QB,530.00,283141.00,80809.00,Hennock CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066801,IPPLEPEN PRIMARY SCHOOL-MAIN SCHOOL SITE,,BILTOR ROAD,IPPLEPEN,NEWTON ABBOT,DEVON,TQ12 5QG,1407.00,283538.00,66454.00,Ipplepen CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
066802,IPPLEPEN PRIMARY SCHOOL-IPPLEPEN MILLENNIUM CENTRE,,BILTOR ROAD,IPPLEPEN,NEWTON ABBOT,DEVON,TQ12 5QG,0,283404.00,66416.00,Ipplepen CP,TEIGNBRIDGE,Education Schools,Memo of Arrangement / User Agreement,Primary school
066901,KENTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,MAMHEAD ROAD,KENTON,EXETER,DEVON,EX6  8LX,535.70,295837.00,83236.00,Kenton CP,TEIGNBRIDGE,Education Schools,Leasehold,Primary school
066903,KENTON PRIMARY SCHOOL-PLAYING FIELD (Formerly BIS 3011 Site for new school),,MAMHEAD ROAD,KENTON,EXETER,DEVON,EX6  8LX,,295840.00,83532.00,Kenton CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
067001,KINGSBRIDGE COMMUNITY PRIMARY SCHOOL,,BELLE CROSS ROAD,,KINGSBRIDGE,DEVON,TQ7  1NL,2231.80,274058.00,44587.00,Kingsbridge CP,SOUTH HAMS,Education Schools,Freehold,Primary school
067201,KINGSWEAR COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,,LOWER CONTOUR ROAD,KINGSWEAR,DARTMOUTH,DEVON,TQ6  0BJ,408.00,288495.00,51187.00,Kingswear CP,SOUTH HAMS,Education Schools,Memo of Arrangement / User Agreement,Primary school
067202,KINGSWEAR COMMUNITY PRIMARY SCHOOL-PLAYING FIELD,,LOWER CONTOUR ROAD,KINGSWEAR,DARTMOUTH,DEVON,TQ6  0BJ,,288830.00,51167.00,Kingswear CP,SOUTH HAMS,Education Schools,Memo of Arrangement / User Agreement,Primary school
067301,LODDISWELL PRIMARY SCHOOL-MAIN SCHOOL SITE,,,LODDISWELL,KINGSBRIDGE,DEVON,TQ7  4QU,463.00,272015.00,48388.00,Loddiswell CP,SOUTH HAMS,Education Schools,Freehold,Primary school
067302,LODDISWELL PRIMARY SCHOOL-PLAYING FIELD - NEW SCHOOL SITE,,,LODDISWELL,KINGSBRIDGE,DEVON,TQ7  4QU,,271842.00,48554.00,Loddiswell CP,SOUTH HAMS,Education Schools,Freehold,Primary school
067401,MODBURY PRIMARY SCHOOL,,BARRACKS ROAD,MODBURY,IVYBRIDGE,DEVON,PL21 0RB,1497.90,265720.00,51834.00,Modbury CP,SOUTH HAMS,Education Schools,Freehold,Primary school
067501,THE YOUTH CENTRE AND COMMUNITY BUILDING AT MORETONHAMPSTEAD OLD SCHOOL,,,GREENHILL,MORETONHAMPSTEAD,DEVON,TQ13 8LL,415.00,275485.00,86075.00,Moretonhampstead CP,TEIGNBRIDGE,Youth services,Mixed Tenure,Integrated Youth Support Centre
067601,DECOY PRIMARY SCHOOL,,DEER PARK ROAD,,NEWTON ABBOT,DEVON,TQ12 1DH,2206.70,286925.00,70026.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
067701,HIGHWEEK COMMUNITY PRIMARY & NURSERY SCHOOL,,CORONATION ROAD,,NEWTON ABBOT,DEVON,TQ12 1TX,1793.90,285474.00,71453.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
067801,HAYTOR VIEW COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE (QUEENSWAY),,QUEENSWAY,,NEWTON ABBOT,DEVON,TQ12 4BD,1400.00,287510.00,71070.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
067802,HAYTOR VIEW COMMUNITY PRIMARY SCHOOL-FORMER INFANT SCHOOL SITE (SANDRINGHAM),,QUEENSWAY,,NEWTON ABBOT,DEVON,TQ12 4BD,1180.00,287633.00,71211.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
068601,SHALDON PRIMARY SCHOOL-MAIN SCHOOL SITE,,BRIDGE ROAD,,SHALDON,DEVON,TQ14 0DD,1003.00,293159.00,72345.00,Shaldon CP,TEIGNBRIDGE,Education Schools,Mixed Tenure,Primary school
068801,STARCROSS PRIMARY SCHOOL-MAIN SCHOOL SITE,,NEW ROAD,STARCROSS,EXETER,DEVON,EX6  8QD,1238.30,297496.00,81645.00,Starcross CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
068802,STARCROSS PRIMARY SCHOOL-PARISH FIELD,,NEW ROAD,STARCROSS,EXETER,DEVON,EX6  8QD,,297500.00,81572.00,Starcross CP,TEIGNBRIDGE,Education Schools,Memo of Arrangement / User Agreement,Primary school
068901,STOKE FLEMING COMMUNITY PRIMARY SCHOOL,,,STOKE FLEMING,DARTMOUTH,DEVON,TQ6  0QA,1199.40,285857.00,48491.00,Stoke Fleming CP,SOUTH HAMS,Education Schools,Freehold,Primary school
069001,STOKE GABRIEL PRIMARY SCHOOL-MAIN SCHOOL SITE,,SCHOOL HILL,STOKE GABRIEL,TOTNES,DEVON,TQ9  6ST,620.30,284795.00,57210.00,Stoke Gabriel CP,SOUTH HAMS,Education Schools,Freehold,Primary school
069002,STOKE GABRIEL PRIMARY SCHOOL-SCHOOL HILL FIELD,,SCHOOL HILL,STOKE GABRIEL,TOTNES,DEVON,TQ9  6ST,,284788.00,57289.00,Stoke Gabriel CP,SOUTH HAMS,Education Schools,Freehold,Primary school
069101,STOKEINTEIGNHEAD SCHOOL,,SCHOOL ROAD,STOKEINTEIGNHEAD,NEWTON ABBOT,DEVON,TQ12 4QE,659.30,291617.00,70415.00,Stokeinteignhead CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
069201,STOKENHAM AREA PRIMARY SCHOOL,,,STOKENHAM,KINGSBRIDGE,DEVON,TQ7  2SJ,1255.00,280292.00,42914.00,Stokenham CP,SOUTH HAMS,Education Schools,Freehold,Primary school
069301,HAZELDOWN SCHOOL,,MAUDLIN DRIVE,HIGHER EXETER ROAD,TEIGNMOUTH,DEVON,TQ14 8SE,1861.90,293649.00,74682.00,Teignmouth CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
069501,TEIGNMOUTH COMMUNITY SCHOOL,,MILL LANE,,TEIGNMOUTH,DEVON,TQ14 9BB,1739.00,292792.00,73785.00,Teignmouth CP,TEIGNBRIDGE,Education Schools,Academy,Primary school
070301,THE GROVE PRIMARY SCHOOL,,THE GROVE,,TOTNES,DEVON,TQ9  5ED,875.40,280193.00,60246.00,Totnes CP,SOUTH HAMS,Education Schools,Freehold,Primary school
070401,WIDECOMBE IN THE MOOR PRIMARY SCHOOL-MAIN SCHOOL SITE,,,WIDECOMBE,NEWTON ABBOT,DEVON,TQ13 7TB,591.50,271681.00,76586.00,Widecombe in the Moor CP,TEIGNBRIDGE,Education Schools,Academy,Primary school
070402,WIDECOMBE IN THE MOOR PRIMARY SCHOOL-PLAYING FIELD,,,WIDECOMBE,NEWTON ABBOT,DEVON,TQ13 7TB,,271783.00,76641.00,Widecombe in the Moor CP,TEIGNBRIDGE,Education Schools,Academy,Primary school
071001,BRADLEY BARTON PRIMARY SCHOOL & NURSERY UNIT,,OGWELL MILL ROAD,BRADLEY VALLEY,NEWTON ABBOT,DEVON,TQ12 1PR,1675.70,284509.00,71329.00,Newton Abbot CP,TEIGNBRIDGE,Education Schools,Freehold,Primary school
071201,BERE ALSTON PRIMARY SCHOOL,,,BERE ALSTON,YELVERTON,DEVON,PL20 7AU,1508.70,244385.00,66984.00,Bere Ferrers CP,WEST DEVON,Education Schools,Mixed Tenure,Primary school
071301,BOASLEY CROSS COMMUNITY PRIMARY SCHOOL,,,BRATTON CLOVELLY,OKEHAMPTON,DEVON,EX20 4JH,380.90,250050.00,93728.00,Sourton CP,WEST DEVON,Education Schools,Trust School,Primary school
071401,BRIDESTOWE PRIMARY SCHOOL,,,BRIDESTOWE,OKEHAMPTON,DEVON,EX20 4EL,402.00,251455.00,89323.00,Bridestowe CP,WEST DEVON,Education Schools,Trust School,Primary school
071501,ERMINGTON PRIMARY SCHOOL,,,ERMINGTON,IVYBRIDGE,DEVON,PL21 9NH,920.10,263833.00,53066.00,Ermington CP,SOUTH HAMS,Education Schools,Freehold,Primary school
071601,GULWORTHY PRIMARY SCHOOL-MAIN SCHOOL SITE,,,GULWORTHY,TAVISTOCK,DEVON,PL19 8JA,397.00,244747.00,72768.00,Gulworthy CP,WEST DEVON,Education Schools,Freehold,Primary school
071602,GULWORTHY PRIMARY SCHOOL-PLAYING FIELD & CAR PARK,,,GULWORTHY,TAVISTOCK,DEVON,PL19 8JA,,244656.00,72764.00,Gulworthy CP,WEST DEVON,Education Schools,Freehold,Primary school
071701,HATHERLEIGH COMMUNITY PRIMARY SCHOOL,,SOUTH STREET,HATHERLEIGH,OKEHAMPTON,DEVON,EX20 3JB,1316.40,254168.00,104188.00,Hatherleigh CP,WEST DEVON,Education Schools,Freehold,Primary school
071801,HIGHAMPTON COMMUNITY PRIMARY SCHOOL,,,HIGHAMPTON,BEAWORTHY,DEVON,EX21 5LE,291.10,248813.00,104531.00,Highampton CP,WEST DEVON,Education Schools,Freehold,Primary school
071901,HOLBETON SCHOOL-MAIN SCHOOL SITE,,,HOLBETON,PLYMOUTH,DEVON,PL8  1LT,661.30,261481.00,50157.00,Holbeton CP,SOUTH HAMS,Education Schools,Mixed Tenure,Primary school
071902,HOLBETON SCHOOL-VILLAGE HALL,,,HOLBETON,PLYMOUTH,DEVON,PL8  1LT,309.00,261515.00,50242.00,Holbeton CP,SOUTH HAMS,Education Schools,Memo of Arrangement / User Agreement,Primary school
071903,HOLBETON SCHOOL-BRENT HILL SPORTS FIELD,,,HOLBETON,PLYMOUTH,DEVON,PL8  1LT,,261559.00,50390.00,Holbeton CP,SOUTH HAMS,Education Schools,Leasehold,Primary school
072101,THE ERME PRIMARY SCHOOL,,STATION ROAD,,IVYBRIDGE,DEVON,PL21 0AJ,1100.00,263569.00,56468.00,Ivybridge CP,SOUTH HAMS,Education Schools,Leasehold,Primary school
072201,MANOR PRIMARY SCHOOL,,MANOR WAY,,IVYBRIDGE,DEVON,PL21 9BG,2118.00,263200.00,56096.00,Ivybridge CP,SOUTH HAMS,Education Schools,Freehold,Primary school
072401,LIFTON COMMUNITY PRIMARY,,NORTH ROAD,,LIFTON,DEVON,PL16 0EH,883.00,238834.00,85132.00,Lifton CP,WEST DEVON,Education Schools,Freehold,Primary school
072501,LYDFORD PRIMARY SCHOOL,,,LYDFORD,OKEHAMPTON,DEVON,EX20 4AU,290.00,251396.00,85130.00,Lydford CP,WEST DEVON,Education Schools,Trust School,Primary school
072601,MILTON ABBOT SCHOOL,,,MILTON ABBOT,TAVISTOCK,DEVON,PL19 0PS,700.00,241084.00,78988.00,Milton Abbot CP,WEST DEVON,Education Schools,Freehold,Primary school
072701,NORTH TAWTON COMMUNITY PRIMARY SCHOOL,,EXETER STREET,,NORTH TAWTON,DEVON,EX20 2HB,1432.00,266640.00,101660.00,North Tawton CP,WEST DEVON,Education Schools,Freehold,Primary school
072801,OCKMENT COMMUNITY ASSOCIATION CENTRE,,NORTH STREET,,OKEHAMPTON,DEVON,EX20 1AR,1248.90,258838.00,95323.00,Okehampton CP,WEST DEVON,Education Administration,Freehold but entirely leased off by others,Held for an agreed Community use
072901,PRINCETOWN PRIMARY,,TAVISTOCK ROAD,PRINCETOWN,YELVERTON,DEVON,PL20 6QE,748.00,258932.00,73610.00,Dartmoor Forest CP,WEST DEVON,Education Schools,Leasehold,Primary school
073001,SHAUGH PRIOR PRIMARY SCHOOL,,,SHAUGH PRIOR,PLYMOUTH,DEVON,PL7  5HA,339.00,254337.00,63037.00,Shaugh Prior CP,SOUTH HAMS,Education Schools,Freehold,Primary school
073101,SOUTH TAWTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,TAWTON LANE,SOUTH ZEAL,OKEHAMPTON,DEVON,EX20 2LG,550.00,265113.00,93636.00,South Tawton CP,WEST DEVON,Education Schools,Freehold,Primary school
073102,SOUTH TAWTON PRIMARY SCHOOL-PARK MEADOW PLAYING FIELD,,TAWTON LANE,SOUTH ZEAL,OKEHAMPTON,DEVON,EX20 2LG,330.10,265190.00,93676.00,South Tawton CP,WEST DEVON,Education Schools,Freehold,Primary school
073103,SOUTH TAWTON PRIMARY SCHOOL-VILLAGE HALL,,TAWTON LANE,SOUTH ZEAL,OKEHAMPTON,DEVON,EX20 2LG,,265055.00,93623.00,South Tawton CP,WEST DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
073301,MARY TAVY AND BRENTOR COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,,,MARY TAVY,TAVISTOCK,DEVON,PL19 9PR,462.40,250683.00,79094.00,Mary Tavy CP,WEST DEVON,Education Schools,Mixed Tenure,Primary school
073302,MARY TAVY AND BRENTOR COMMUNITY PRIMARY SCHOOL-NEW SCHOOL SITE (BIS 2891),,,MARY TAVY,TAVISTOCK,DEVON,PL19 9PR,,250461.00,79678.00,Mary Tavy CP,WEST DEVON,Education Schools,Freehold,Primary school
073501,WEMBURY PRIMARY SCHOOL,,KNIGHTON ROAD,WEMBURY,PLYMOUTH,DEVON,PL9  0EB,1275.20,252805.00,49558.00,Wembury CP,SOUTH HAMS,Education Schools,Freehold,Primary school
081501,STOWFORD PRIMARY SCHOOL,,EXETER ROAD,,IVYBRIDGE,DEVON,PL21 0BG,1968.80,264165.00,56474.00,Ivybridge CP,SOUTH HAMS,Education Schools,Academy,Primary school
081601,UGBOROUGH PRIMARY SCHOOL-MAIN SCHOOL SITE,,,UGBOROUGH,IVYBRIDGE,DEVON,PL21 0NJ,719.60,267679.00,55921.00,Ugborough CP,SOUTH HAMS,Education Schools,Freehold,Primary school
081602,UGBOROUGH PRIMARY SCHOOL-VILLAGE HALL,,,UGBOROUGH,IVYBRIDGE,DEVON,PL21 0NJ,173.00,267688.00,55860.00,Ugborough CP,SOUTH HAMS,Education Schools,Memo of Arrangement / User Agreement,Primary school
081701,BICKLEIGH ON EXE CHURCH OF ENGLAND PRIMARY SCHOOL,,BELL MEADOW,BICKLEIGH,TIVERTON,DEVON,EX16 8RE,1217.40,294013.00,107112.00,Bickleigh (Mid Devon) CP,MID DEVON,Education Schools,Academy,Primary school
081801,BRAMPFORD SPEKE CHURCH OF ENGLAND PRIMARY SCHOOL,,,BRAMPFORD SPEKE,EXETER,DEVON,EX5  5HE,376.60,292644.00,98492.00,Brampford Speke CP,EAST DEVON,Education Schools,Church Owned,Primary school
081901,BRANSCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,,BRANSCOMBE,SEATON,DEVON,EX12 3DA,412.00,319623.00,88597.00,Branscombe CP,EAST DEVON,Education Schools,Church Owned,Primary school
081902,BRANSCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,,BRANSCOMBE,SEATON,DEVON,EX12 3DA,0,319751.00,88735.00,Branscombe CP,EAST DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
082001,BROADHEMBURY CHURCH OF ENGLAND PRIMARY-MAIN SCHOOL SITE,,,BROADHEMBURY,HONITON,DEVON,EX14 3ND,305.00,310148.00,104671.00,Broadhembury CP,EAST DEVON,Education Schools,Church Owned,Primary school
082002,BROADHEMBURY CHURCH OF ENGLAND PRIMARY-WOOD LAND PLAYING FIELD,,,BROADHEMBURY,HONITON,DEVON,EX14 3ND,,310016.00,104902.00,Broadhembury CP,EAST DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
082004,BROADHEMBURY CHURCH OF ENGLAND PRIMARY - ADJACENT PLAYING FIELD,,,BROADHEMBURY,HONITON,DEVON,EX14 3ND,,310196.00,104633.00,,EAST DEVON,Education Schools,Licence,Primary school
082101,BURLESCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,,BURLESCOMBE,TIVERTON,DEVON,EX16 7JH,665.60,307014.00,116976.00,Burlescombe CP,MID DEVON,Education Schools,Church Owned,Primary school
082102,BURLESCOMBE CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH GROUND BRAY CLOSE,,,BURLESCOMBE,TIVERTON,DEVON,EX16 7JH,,307114.00,116939.00,Burlescombe CP,MID DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
082201,LAND REMAINING AT CLYST HONITON CHURCH OF ENGLAND PRIMARY SCHOOL,,,CLYST HONITON,EXETER,DEVON,EX5  2LZ,,298887.00,93422.00,Clyst Honiton CP,EAST DEVON,Education Administration,Freehold,Surplus 12 months
082301,ST LEONARDS C OF E PRIMARY SCHOOL,,ST LEONARDS ROAD,,EXETER,DEVON,EX2  4NQ,2386.00,292730.00,91902.00,Exeter,EXETER,Education Schools,Church Owned with DCC Freehold of Playing Field,Primary school
082401,ST DAVIDS CHURCH OF ENGLAND PRIMARY SCHOOL EXETER,,DINHAM ROAD,,EXETER,DEVON,EX4  4EE,708.00,291575.00,92755.00,Exeter,EXETER,Education Schools,DCC Leasehold of playground,Primary school
082601,LITTLEHAM CHURCH OF ENGLAND PRIMARY SCHOOL,,LITTLEDOWN CLOSE,LITTLEHAM,EXMOUTH,DEVON,EX8  2QY,1189.00,302643.00,81241.00,Exmouth CP,EAST DEVON,Education Schools,Church Owned with DCC Freehold of Playing Field,Primary school
082701,WITHYCOMBE RALEIGH CHURCH OF ENGLAND PRIMARY SCHOOL,,WITHYCOMBE VILLAGE ROAD,,EXMOUTH,DEVON,EX8  3BA,2307.70,301098.00,82091.00,Exmouth CP,EAST DEVON,Education Schools,Church Owned with DCC Freehold of Playing Field,Primary school
082801,HAWKCHURCH CHURCH OF ENGLAND SCHOOL,,,HAWKCHURCH,AXMINSTER,DEVON,EX13 5XD,267.00,334386.00,100219.00,Hawkchurch CP,EAST DEVON,Education Schools,Church Owned,Primary school
082901,KENTISBEARE CHURCH OF ENGLAND PRIMARY SCHOOL,,FORE STREET,KENTISBEARE,CULLOMPTON,DEVON,EX15 2AD,891.80,306798.00,108284.00,Kentisbeare CP,MID DEVON,Education Schools,Church Owned,Primary school
083001,LYMPSTONE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,SCHOOL HILL,LYMPSTONE,EXMOUTH,DEVON,EX8  5JY,636.00,299135.00,84439.00,Lympstone CP,EAST DEVON,Education Schools,Leasehold,Primary school
083002,LYMPSTONE CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL,,SCHOOL HILL,LYMPSTONE,EXMOUTH,DEVON,EX8  5JY,226.00,299224.00,84355.00,Lympstone CP,EAST DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
083101,OFFWELL CHURCH OF ENGLAND PRIMARY SCHOOL,,,OFFWELL,HONITON,DEVON,EX14 9SA,365.30,319484.00,99668.00,Offwell CP,EAST DEVON,Education Schools,Church Owned with DCC Freehold of Playing Field,Primary school
083201,PAYHEMBURY CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,,PAYHEMBURY,HONITON,DEVON,EX14 3HT,303.60,308730.00,101682.00,Payhembury CP,EAST DEVON,Education Schools,Church Owned,Primary school
083202,PAYHEMBURY CHURCH OF ENGLAND PRIMARY SCHOOL-PLAYING FIELD SITE,,,PAYHEMBURY,HONITON,DEVON,EX14 3HT,125.70,308778.00,101634.00,Payhembury CP,EAST DEVON,Education Schools,Church Owned with DCC Freehold of Playing Field,Primary school
083204,PAYHEMBURY CHURCH OF ENGLAND PRIMARY SCHOOL-VILLAGE HALL SITE,,,PAYHEMBURY,HONITON,DEVON,EX14 3HT,326.50,308810.00,101670.00,,EAST DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
083301,PLYMTREE CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,,PLYMTREE,CULLOMPTON,DEVON,EX15 2JU,523.00,305391.00,102927.00,Plymtree CP,EAST DEVON,Education Schools,Church Owned,Primary school
083302,PLYMTREE CHURCH OF ENGLAND PRIMARY SCHOOL-PARISH PLAYING FIELD,,,PLYMTREE,CULLOMPTON,DEVON,EX15 2JU,,305551.00,103045.00,Plymtree CP,EAST DEVON,Education Schools,Memo of Arrangement / User Agreement,Primary school
083501,SAMPFORD PEVERELL CHURCH OF ENGLAND PRIMARY SCHOOL,,,SAMPFORD PEVERELL,TIVERTON,DEVON,EX16 7BR,789.00,302852.00,114249.00,Sampford Peverell CP,MID DEVON,Education Schools,Academy,Primary school
083601,SIDBURY CHURCH OF ENGLAND PRIMARY SCHOOL,,CHURCH STREET,SIDBURY,SIDMOUTH,DEVON,EX10 0SB,688.00,314008.00,91779.00,Sidmouth CP,EAST DEVON,Education Schools,Academy,Primary school
